# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Full Version
# File: C:\Users\danleaf\Source\Repos\Ultrasonic-Flaw-Detector\fpga\usb.csv
# Generated on: Tue Aug 18 21:50:53 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved,Current Strength,I/O Bank,VREF Group,Fitter Location,Slew Rate,Differential Pair
io_usb_data[0],Bidir,PIN_A18,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_A18,,
o_clk_ad,Output,PIN_J17,,,,6,B6_N1,PIN_J17,,
o_clk_da,Output,PIN_J18,,,,6,B6_N2,PIN_J18,,
o_da_data[7],Output,PIN_J21,,,,6,B6_N3,PIN_J21,,
o_da_data[6],Output,PIN_J22,,,,6,B6_N3,PIN_J22,,
o_da_data[5],Output,PIN_K17,,,,6,B6_N2,PIN_K17,,
o_da_data[4],Output,PIN_K18,,,,6,B6_N2,PIN_K18,,
o_da_data[3],Output,PIN_K19,,,,6,B6_N3,PIN_K19,,
o_da_data[2],Output,PIN_K21,,,,6,B6_N3,PIN_K21,,
o_da_data[1],Output,PIN_K22,,,,6,B6_N3,PIN_K22,,
o_da_data[0],Output,PIN_L21,,,,6,B6_N3,PIN_L21,,
o_led[3],Output,PIN_V14,,,,4,B4_N2,PIN_V14,,
o_led[2],Output,PIN_W14,,,,4,B4_N2,PIN_W14,,
o_led[1],Output,PIN_AA14,,,,4,B4_N3,PIN_AA14,,
o_led[0],Output,PIN_AB14,,,,4,B4_N3,PIN_AB14,,
o_trig,Output,PIN_U16,,,,4,B4_N0,PIN_U16,,
o_usb_addr0,Output,PIN_G13,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_G13,,
o_usb_addr1,Output,PIN_E12,3.0-V LVTTL,,Maximum Current,7,B7_N3,PIN_E12,,
o_usb_ifclk,Output,PIN_B20,3.0-V LVTTL,,Maximum Current,7,B7_N1,PIN_B20,,
o_usb_slcs,Output,PIN_F11,3.0-V LVTTL,,Maximum Current,7,B7_N3,PIN_F11,,
o_usb_sloe,Output,PIN_E13,3.0-V LVTTL,,Maximum Current,7,B7_N3,PIN_E13,,
o_usb_slpked,Output,PIN_E11,3.0-V LVTTL,,,7,B7_N3,PIN_E11,,
o_usb_slrd,Output,PIN_W6,3.0-V LVTTL,,Maximum Current,3,B3_N2,PIN_W6,,
o_usb_slwr,Output,PIN_V6,3.0-V LVTTL,,Maximum Current,3,B3_N3,PIN_V6,,
